,cord1,cord2,cord3,cord4,cord5,cord6,cord7,cord8,center1,center2,angle,solution1,solution2
27,-98.4795968402305,29.405716205801237,-98.47850284613547,29.403582286986136,-98.47360327778227,29.40548816474082,-98.4746972718773,29.40762208355592,-98.47660005900639,29.405602185271032,1.9907921534853987,-98.476212,29.405466
28,-98.498551007162,29.400550261380076,-98.50049496200333,29.39893954528358,-98.49679668934341,29.395552927106177,-98.49485273450209,29.397163643202674,-98.49767384825272,29.398051594243125,0.7604056798871471,-98.497903,29.397662
29,-98.48282107869125,29.443908744765825,-98.48549400567036,29.443706840178763,-98.48503042415163,29.439050259222263,-98.48235749717252,29.43925216380933,-98.48392575142144,29.441479501994046,0.08650155664510768,-98.48384,29.442016
30,-98.49554379435965,29.401775788889015,-98.49789497243765,29.400650049535564,-98.4953102270054,29.396553996351592,-98.49295904892739,29.397679735705047,-98.49542701068252,29.399164892620302,0.5025900329251382,-98.495145,29.399181
31,-98.48645886701046,29.41396048294472,-98.48892153423702,29.413033081702704,-98.48679218154379,29.408742800150318,-98.48432951431722,29.409670201392334,-98.48662552427713,29.41135164154752,0.40805987133011223,-98.486271,29.411591
32,-98.49356027510802,29.394020522409058,-98.49159386560244,29.392430621977184,-98.48794338659376,29.395856359054147,-98.48990979609934,29.397446259486017,-98.4907518308509,29.3949384407316,2.393409122856156,-98.490493,29.39478
33,-98.51028416889308,29.406620662215833,-98.5123287924406,29.40510747081146,-98.50885444062143,29.40154547486137,-98.50680981707391,29.40305866626574,-98.50956930475725,29.4040830685386,0.7042799040556404,-98.508628,29.404364
34,-98.49749053980901,29.398250089839273,-98.49834111466865,29.396033614804026,-98.49325199372295,29.394551804517246,-98.49240141886331,29.396768279552493,-98.49537126676599,29.396400947178257,1.2482013725907868,-98.4961263,29.3970613
35,-98.49796815251682,29.414448176850634,-98.49535961451015,29.413901557251663,-98.49410455266366,29.41844596437577,-98.49671309067033,29.418992583974738,-98.49603635259024,29.416447070613202,2.9055106219803717,-98.4961639,29.4164412
36,-98.48883887640291,29.411786160480265,-98.48894288659721,29.414121432142704,-98.49430476965128,29.413940233069965,-98.49420075945696,29.411604961407527,-98.49157182302709,29.412863196775117,4.751165677678997,-98.491588,29.412956
37,-98.5125142505546,29.398003934762325,-98.51350129723848,29.395830808229995,-98.50851170629905,29.39411124655578,-98.50752465961517,29.396284373088115,-98.51051297842683,29.396057590659055,1.1940522003456069,-98.5112347,29.3960935
38,-98.5011838730766,29.42501203105057,-98.5032762163761,29.423549171153905,-98.49991742783918,29.419904041287296,-98.49782508453968,29.42136690118396,-98.50055065045788,29.422458036168933,0.6763474180934735,-98.4999955,29.4218961
39,-98.49717459476567,29.435100237356554,-98.49915600303507,29.43667594539964,-98.50277389571549,29.433224078556112,-98.50079248744609,29.43164837051303,-98.49997424524058,29.434162157956337,5.543255993103923,-98.4997561,29.4349771
40,-98.48290302338728,29.438789787250883,-98.48318651805829,29.441113732530006,-98.48852239525453,29.44061984852322,-98.48823890058354,29.438295903244104,-98.48571270932091,29.43970481788705,4.818251554748626,-98.485199,29.439914
41,-98.48723757159847,29.388060209602365,-98.4855362894544,29.389867306284636,-98.48968546029116,29.39283115755912,-98.49138674243522,29.391024060876852,-98.4884615159448,29.39044568358074,4.025536139335298,-98.4885047,29.3906753
42,-98.48653344435361,29.41255371568917,-98.48400062468578,29.411782890425016,-98.48223077709676,29.416195386510243,-98.48476359676458,29.416966211774394,-98.48438211072519,29.414374551099705,2.8054677252942977,-98.4840256,29.414772
43,-98.47986133625653,29.431889516495673,-98.48116505465268,29.433932079666636,-98.48585486656167,29.431660835332778,-98.48455114816551,29.429618272161814,-98.4828581014091,29.43177517591423,5.219810978782341,-98.483455,29.431914
44,-98.49015801144145,29.4053368938158,-98.49275987879906,29.40476666159642,-98.49145060137187,29.400233875596896,-98.48884873401427,29.40080410781628,-98.49080430640666,29.402785384706352,0.2464871897035521,-98.4902162,29.4050224
45,-98.47424955553568,29.394197480166817,-98.47656469634254,29.395378531382356,-98.47927644016251,29.391345259737815,-98.47696129935564,29.39016420852228,-98.4767629978491,29.392771369952317,5.753380985507924,-98.476111,29.392554
46,-98.51404454693312,29.437836162047383,-98.51283595909035,29.435749680813004,-98.50804530943996,29.437855195545296,-98.50925389728275,29.439941676779675,-98.51104492818654,29.43784567879634,2.0380861926235703,-98.5107927,29.4382831
47,-98.48790271159186,29.43000359103726,-98.4905697755346,29.429749581369595,-98.48998655853482,29.425103214573003,-98.48731949459209,29.42535722424067,-98.48894463506333,29.42755340280513,0.10890430585626476,-98.4885353,29.4275644
48,-98.47878277598899,29.41188400210792,-98.48055775507946,29.413636489979226,-98.48458154176379,29.410544249190206,-98.4828065626733,29.408791761318906,-98.48168215887638,29.411214125649064,5.4353065914346415,-98.4816388,29.4111849
49,-98.4783606643365,29.439282232974545,-98.47993278685337,29.441176010336832,-98.48428098021789,29.438437171666536,-98.48270885770103,29.43654339430425,-98.4813208222772,29.43885970232054,5.338460685858796,-98.480664,29.438373
50,-98.5067568444566,29.41697723761737,-98.50633892455015,29.419285739413215,-98.511639342852,29.420013809387775,-98.51205726275845,29.41770530759193,-98.5091980936543,29.418495523502575,4.555983764435936,-98.509997,29.419036
51,-98.5051030371581,29.41266382431263,-98.5053619998695,29.41498994098889,-98.51070286268593,29.414538794796027,-98.5104438999745,29.41221267811977,-98.50790294992201,29.413601309554327,4.809060814175033,-98.5089484,29.4135648
52,-98.49870460043019,29.430243590596767,-98.4999395502197,29.43231832620163,-98.50470323140517,29.43016688558354,-98.50346828161567,29.428092149978674,-98.50170391591769,29.430205238090153,5.190715382257196,-98.5021555,29.4299755
53,-98.50594021068419,29.42644606508373,-98.50356379813705,29.425361274203308,-98.50107307214039,29.429501289062763,-98.50344948468752,29.430586079943186,-98.50350664141229,29.427973677073247,2.658889354610975,-98.5037068,29.4278104
54,-98.48903134777701,29.438026306910412,-98.48910280735528,29.4403625062738,-98.49446682045016,29.440238014541,-98.4943953608719,29.43790181517761,-98.4917490841136,29.439132160725705,4.739026751142435,-98.491454,29.438856
